"decmal year", "x utm", "y utm", "bottom depth(m)","Scallops per sq m"
2012.5, 511196.226843, 4111833.419930, 47.856887, 0.000000e+00
2012.5, 511196.743603, 4112128.865527, 48.227446, 0.000000e+00
2012.5, 511232.892830, 4112780.567037, 48.945503, 0.000000e+00
2012.5, 511237.309169, 4112812.225628, 48.923265, 0.000000e+00
2012.5, 511280.644422, 4113512.530137, 48.615579, 0.000000e+00
2012.5, 511283.842338, 4113583.544459, 48.511094, 0.000000e+00
2012.5, 511314.686304, 4114051.760180, 48.677496, 0.000000e+00
2012.5, 511321.565553, 4114258.628269, 48.743232, 0.000000e+00
2012.5, 511335.630863, 4114681.888165, 49.064750, 0.000000e+00
2012.5, 511359.866386, 4115077.802989, 49.097206, 0.000000e+00
2012.5, 511379.218361, 4115578.811480, 49.687709, 0.000000e+00
2012.5, 511390.558254, 4115877.570194, 48.329422, 5.169551e-02
2012.5, 511417.902545, 4116515.789578, 43.675397, 0.000000e+00
2012.5, 511419.971394, 4116487.276347, 44.171560, 7.186860e-02
2012.5, 511423.530079, 4111314.481894, 49.502220, 0.000000e+00
2012.5, 511497.820144, 4117271.302124, 49.986784, 0.000000e+00
2012.5, 511498.388467, 4117267.624406, 49.618327, 7.431384e-02
2012.5, 511539.830775, 4117776.113663, 49.527602, 0.000000e+00
2012.5, 511541.289476, 4111108.364353, 51.100013, 0.000000e+00
2012.5, 511556.796634, 4118112.466858, 49.769849, 0.000000e+00
2012.5, 511582.698790, 4118628.564686, 50.645484, 0.000000e+00
2012.5, 511610.725809, 4118754.926725, 50.462568, 0.000000e+00
2012.5, 511788.116501, 4110713.833686, 52.762382, 0.000000e+00
2012.5, 511872.675468, 4119186.953458, 49.423614, 0.000000e+00
2012.5, 512014.695028, 4119334.026199, 49.223489, 7.364765e-02
2012.5, 512016.436686, 4110356.307485, 53.933364, 0.000000e+00
2012.5, 512183.365532, 4110106.537109, 54.030097, 0.000000e+00
2012.5, 512499.909051, 4119697.905424, 48.602982, 0.000000e+00
2012.5, 512605.375828, 4109441.390532, 53.727545, 0.000000e+00
2012.5, 512630.122383, 4119799.105672, 48.426157, 0.000000e+00
2012.5, 513004.851182, 4108813.725386, 54.229635, 0.000000e+00
2012.5, 513099.199142, 4108671.072252, 54.586631, 0.000000e+00
2012.5, 513159.076751, 4120205.443569, 49.886639, 8.257951e-02
2012.5, 513358.651409, 4108243.923534, 56.556472, 0.000000e+00
2012.5, 513494.393071, 4108022.516411, 56.889804, 0.000000e+00
2012.5, 513620.018127, 4120557.195869, 52.176746, 0.000000e+00
2012.5, 513786.943129, 4107556.802991, 57.668645, 0.000000e+00
2012.5, 513857.748234, 4120738.169669, 52.780292, 0.000000e+00
2012.5, 514161.792041, 4106965.003291, 58.931156, 0.000000e+00
2012.5, 514406.627743, 4121139.484426, 52.957130, 0.000000e+00
2012.5, 514455.840186, 4121175.205618, 52.925251, 0.000000e+00
2012.5, 514540.224464, 4106377.462280, 60.886508, 0.000000e+00
2012.5, 514643.612990, 4106222.550660, 61.410527, 0.000000e+00
2012.5, 514997.870134, 4121564.340260, 51.988873, 2.543079e-01
2012.5, 515010.444109, 4105670.069803, 58.308662, 0.000000e+00
2012.5, 515024.374363, 4105646.116222, 58.314037, 0.000000e+00
2012.5, 515049.648527, 4121600.844092, 51.833841, 1.550186e-01
2012.5, 515398.637638, 4105152.564266, 58.398485, 0.000000e+00
2012.5, 515525.661480, 4104987.064957, 58.249224, 0.000000e+00
2012.5, 515618.506089, 4122011.571799, 50.244880, 2.530989e-01
2012.5, 515626.204124, 4122016.341651, 50.135396, 0.000000e+00
2012.5, 515939.396619, 4104461.233966, 57.002498, 0.000000e+00
2012.5, 515980.390314, 4104412.096905, 57.263799, 0.000000e+00
2012.5, 516063.489535, 4122332.349820, 50.696291, 5.956518e-01
2012.5, 516291.872350, 4122494.837483, 50.806920, 2.745446e-01
2012.5, 516353.899926, 4103941.668686, 59.159712, 0.000000e+00
2012.5, 516760.441627, 4103435.291493, 60.187956, 0.000000e+00
2012.5, 516788.833184, 4122858.732784, 49.141567, 0.000000e+00
2012.5, 516845.685077, 4122897.092060, 48.860910, 0.000000e+00
2012.5, 516999.222792, 4103134.793718, 60.430896, 0.000000e+00
2012.5, 517177.748376, 4102913.454541, 60.508854, 0.000000e+00
2012.5, 517262.991307, 4102810.688102, 60.523942, 0.000000e+00
2012.5, 517400.762278, 4123313.927983, 47.591545, 0.000000e+00
2012.5, 517551.981104, 4123427.999869, 47.353587, 0.000000e+00
2012.5, 517988.402255, 4123735.096435, 47.813087, 0.000000e+00
2012.5, 518075.049893, 4123804.311961, 47.895788, 1.343157e-01
2012.5, 518567.411366, 4123848.577196, 49.672196, 0.000000e+00
2012.5, 518700.089687, 4123740.987555, 50.336995, 7.368664e-02
2012.5, 519168.181696, 4123385.087060, 49.591729, 2.179869e-01
2012.5, 519361.042238, 4123254.089261, 48.909985, 0.000000e+00
2012.5, 519838.266398, 4122929.105506, 54.916818, 2.704475e-01
2012.5, 519933.135193, 4122863.823101, 56.108894, 2.710701e-01
2012.5, 520494.696822, 4122478.672612, 58.545908, 2.080721e-01
2012.5, 520511.585070, 4122467.899362, 58.538282, 3.972626e-01
2012.5, 521064.795878, 4122092.589939, 59.740058, 0.000000e+00
2012.5, 521131.557732, 4122042.655680, 59.086963, 3.332455e-01
2012.5, 521446.573984, 4121812.073006, 57.234669, 5.580784e-01
2012.5, 521739.284658, 4121571.409856, 57.757868, 5.425050e-01
2012.5, 522147.953699, 4121260.214324, 58.990842, 4.632226e-01
2012.5, 522299.006765, 4121219.468774, 59.292456, 1.346676e-01
2012.5, 522703.457374, 4121659.945747, 59.935866, 1.521133e-01
2012.5, 522771.817102, 4121824.521279, 60.086780, 4.224077e-01
2012.5, 523024.510611, 4122288.448559, 59.551344, 4.281288e-01
2012.5, 523032.147693, 4122305.048531, 59.557295, 0.000000e+00
2012.5, 523429.677072, 4123030.561722, 58.718768, 3.799043e-01
2012.5, 523466.454310, 4123095.321745, 58.725643, 3.588198e-01
2012.5, 523674.735073, 4190648.010531, 41.302538, 0.000000e+00
2012.5, 523678.612011, 4190770.950072, 41.309101, 0.000000e+00
2012.5, 523688.273486, 4189981.356359, 41.078476, 0.000000e+00
2012.5, 523732.719151, 4123557.356331, 58.908899, 1.170199e+00
2012.5, 523787.720273, 4190854.134025, 41.351618, 0.000000e+00
2012.5, 523788.539337, 4189555.217554, 40.963646, 0.000000e+00
2012.5, 523801.507761, 4123676.822628, 59.138466, 5.633308e-01
2012.5, 523858.274781, 4189266.702281, 40.773717, 0.000000e+00
2012.5, 523916.719736, 4189020.082645, 40.503559, 0.000000e+00
2012.5, 524043.651618, 4188517.576399, 40.758010, 0.000000e+00
2012.5, 524146.638486, 4188102.921107, 41.025355, 0.000000e+00
2012.5, 524180.367681, 4124313.014923, 59.897100, 8.100297e-02
2012.5, 524201.011743, 4124357.442043, 59.940525, 3.762633e-01
2012.5, 524213.039810, 4187830.120194, 41.092318, 0.000000e+00
2012.5, 524243.806251, 4191086.130757, 41.481499, 0.000000e+00
2012.5, 524267.098205, 4187594.207965, 41.136723, 0.000000e+00
2012.5, 524407.254904, 4187027.564282, 41.298499, 0.000000e+00
2012.5, 524474.803742, 4186784.582900, 41.542449, 0.000000e+00
