"decmal year", "x utm", "y utm", "bottom depth(m)","Scallops per sq m"
2013.5, 429082.988738, 4617625.011925, 27.015631, 0.000000e+00
2013.5, 429443.473829, 4618157.519161, 28.781522, 0.000000e+00
2013.5, 429743.655369, 4618826.289716, 32.177903, 0.000000e+00
2013.5, 430275.921035, 4619371.187001, 35.374159, 6.945111e-02
2013.5, 430819.546299, 4619862.243017, 39.564225, 3.067485e-01
2013.5, 432111.450589, 4621237.815103, 61.831617, 0.000000e+00
2013.5, 432210.229758, 4620713.289530, 58.756890, 2.214897e-01
2013.5, 432445.511550, 4620011.429481, 56.089719, 1.811594e-01
2013.5, 432710.433630, 4620990.965766, 61.455168, 0.000000e+00
2013.5, 432768.810053, 4619391.183134, 56.971164, 0.000000e+00
2013.5, 433197.554257, 4621582.610186, 66.975023, 5.862155e-02
2013.5, 433220.295517, 4618750.808094, 54.205819, 9.746589e-02
2013.5, 433622.245962, 4622329.712645, 72.647782, 0.000000e+00
2013.5, 433751.364744, 4618227.528948, 53.899906, 1.875000e-01
2013.5, 433925.130317, 4622906.344996, 76.157023, 7.691873e-02
2013.5, 434145.193614, 4623332.722949, 79.232573, 0.000000e+00
2013.5, 434315.296401, 4617744.072470, 54.742851, 1.980198e-01
2013.5, 434603.515834, 4624520.651365, 86.113394, 0.000000e+00
2013.5, 434969.969778, 4625232.073892, 93.301692, 0.000000e+00
2013.5, 435043.233620, 4625382.748172, 95.300000, 0.000000e+00
2013.5, 435254.813358, 4612158.623265, 36.177477, 0.000000e+00
2013.5, 435335.731651, 4611468.035732, 34.838979, 0.000000e+00
2013.5, 435406.408282, 4626014.243316, 105.461925, 0.000000e+00
2013.5, 435659.218994, 4610823.369205, 34.472219, 0.000000e+00
2013.5, 435741.023498, 4612755.961022, 38.874005, 0.000000e+00
2013.5, 435802.495448, 4615718.747019, 53.849131, 3.159558e-01
2013.5, 436041.695071, 4610202.627258, 35.058656, 0.000000e+00
2013.5, 436087.466631, 4615314.214232, 53.407106, 2.583979e-01
2013.5, 436366.414323, 4625792.676968, 112.846013, 0.000000e+00
2013.5, 436404.238445, 4613496.966811, 45.251860, 0.000000e+00
2013.5, 436431.440260, 4609582.907404, 33.835234, 2.423263e-01
2013.5, 436596.425531, 4614819.604998, 52.714612, 2.509561e-01
2013.5, 436702.315092, 4613840.557588, 47.861777, 7.342144e-02
2013.5, 436851.372850, 4608921.982224, 33.835003, 1.337486e-01
2013.5, 436955.389121, 4625256.171008, 115.148744, 1.164245e-01
2013.5, 437173.277954, 4614450.799304, 52.859159, 7.930214e-02
2013.5, 437278.388103, 4608246.639955, 32.811151, 1.445358e-01
2013.5, 437283.043190, 4614441.263210, 54.069596, 3.031834e-01
2013.5, 437464.703048, 4624800.504036, 116.362593, 0.000000e+00
2013.5, 437631.347083, 4615045.048663, 58.015190, 2.331002e-01
2013.5, 437637.308974, 4607692.349275, 32.665810, 0.000000e+00
2013.5, 437912.872560, 4614049.846432, 55.413419, 6.451613e-02
2013.5, 438038.156113, 4624306.416717, 116.521165, 0.000000e+00
2013.5, 438139.122662, 4615636.454176, 62.582345, 8.748906e-02
2013.5, 438251.569731, 4607200.028625, 32.517603, 0.000000e+00
2013.5, 438454.872910, 4613567.039721, 56.083361, 1.175088e-01
2013.5, 438679.332689, 4616169.884602, 67.676850, 1.962709e-01
2013.5, 438739.371138, 4623979.166328, 118.630196, 0.000000e+00
2013.5, 438884.831935, 4606790.833010, 33.731399, 5.854788e-02
2013.5, 439046.780561, 4613032.009024, 56.859787, 1.940492e-01
2013.5, 439195.824548, 4616663.549757, 74.308109, 0.000000e+00
2013.5, 439262.755099, 4623460.117443, 121.394948, 0.000000e+00
2013.5, 439496.829570, 4606369.021580, 34.514964, 1.053055e-01
2013.5, 439567.452699, 4612574.522951, 57.294921, 3.707136e-01
2013.5, 439677.785490, 4622825.908601, 121.547998, 0.000000e+00
2013.5, 439736.617962, 4617169.850196, 80.185842, 0.000000e+00
2013.5, 440027.930557, 4622174.828449, 120.718707, 0.000000e+00
2013.5, 440074.992490, 4605928.901364, 33.914699, 1.450326e-01
2013.5, 440192.981415, 4612011.139299, 58.013984, 6.972013e-02
2013.5, 440238.185333, 4617648.041436, 84.459939, 1.226994e-01
2013.5, 440363.789476, 4621546.680803, 119.246150, 2.021457e-01
2013.5, 440695.190810, 4605463.108659, 33.956438, 5.842371e-02
2013.5, 440697.627888, 4611556.562760, 58.761962, 4.736130e-01
2013.5, 440798.980907, 4620727.699683, 116.229372, 0.000000e+00
2013.5, 440829.674460, 4618236.133500, 89.461591, 0.000000e+00
2013.5, 441103.929637, 4620166.755884, 113.281786, 0.000000e+00
2013.5, 441223.208658, 4618861.642931, 97.113807, 9.107468e-02
2013.5, 441257.482852, 4605159.882620, 33.808157, 3.487767e-01
2013.5, 441272.400930, 4611049.366480, 56.838860, 1.921845e-01
2013.5, 441421.188997, 4619493.410878, 106.520458, 0.000000e+00
2013.5, 441817.749149, 4610573.386044, 57.292773, 3.861004e-01
2013.5, 442382.320155, 4610078.282154, 57.285106, 7.625479e-01
2013.5, 442431.481048, 4606229.271328, 40.645454, 7.068774e-02
2013.5, 442905.764249, 4606742.990392, 43.726387, 2.416918e-01
2013.5, 442951.867668, 4609575.507664, 57.427070, 5.567154e-01
2013.5, 443391.433871, 4607263.586581, 48.187546, 7.363908e-01
2013.5, 443516.913628, 4609075.164483, 57.217173, 3.601441e-01
2013.5, 443880.337076, 4607775.765249, 51.959827, 3.464410e-01
2013.5, 444117.008360, 4608567.259921, 57.242392, 2.344666e-01
2013.5, 444405.806608, 4608320.218478, 55.518635, 1.240695e-01
2013.5, 444726.446196, 4608110.664608, 57.167593, 1.114591e-01
2013.5, 444933.077129, 4608867.440267, 59.870333, 0.000000e+00
2013.5, 445397.636074, 4607624.686789, 58.132955, 7.017201e-02
2013.5, 445472.661730, 4609422.671216, 63.803549, 0.000000e+00
2013.5, 445933.861799, 4607239.636461, 57.722804, 1.880502e-01
2013.5, 445998.498685, 4609944.043578, 66.975574, 2.868069e-01
2013.5, 446517.792846, 4610454.422395, 70.222038, 2.590674e-01
2013.5, 446527.138186, 4606819.657419, 57.516750, 5.262652e-01
2013.5, 447045.329159, 4610986.445595, 74.199674, 2.965159e-01
2013.5, 447115.055398, 4606399.388117, 58.386409, 5.734767e-01
2013.5, 447444.482749, 4598642.587661, 34.011375, 0.000000e+00
2013.5, 447491.052382, 4598093.361430, 34.415999, 0.000000e+00
2013.5, 447578.883491, 4611521.159504, 78.377731, 5.672609e-01
2013.5, 447602.903777, 4599397.502764, 35.102743, 0.000000e+00
2013.5, 447703.239736, 4605975.685396, 58.186876, 7.575758e-01
2013.5, 448142.018653, 4612088.445272, 81.756930, 1.663894e-01
2013.5, 448143.204791, 4599898.860842, 36.599265, 0.000000e+00
2013.5, 448199.488526, 4596209.666646, 33.587597, 0.000000e+00
2013.5, 448350.014054, 4605514.915429, 57.066173, 7.960808e-01
2013.5, 448351.547990, 4595831.935686, 33.809088, 0.000000e+00
2013.5, 448607.593017, 4595199.960351, 33.099960, 0.000000e+00
2013.5, 448678.617489, 4600384.264682, 40.294791, 0.000000e+00
2013.5, 448768.563186, 4612234.273252, 83.931183, 4.194631e-01
2013.5, 448904.242493, 4594468.756310, 32.566609, 7.183908e-02
2013.5, 448956.230683, 4605084.737677, 56.606099, 6.676204e-01
2013.5, 449197.704971, 4593753.413405, 32.268081, 0.000000e+00
2013.5, 449226.543663, 4600889.397106, 42.365450, 1.563722e-01
2013.5, 449493.808235, 4612078.882333, 84.746601, 3.793627e-01
2013.5, 449535.846839, 4593224.466224, 31.870243, 0.000000e+00
2013.5, 449564.875106, 4604652.639918, 56.684306, 1.664817e-01
2013.5, 449817.313963, 4601432.717861, 46.939490, 2.390438e-01
2013.5, 450179.518093, 4604207.632408, 56.469501, 2.483409e-01
2013.5, 450259.799130, 4611907.997196, 86.433539, 5.498653e-01
2013.5, 450335.421250, 4593092.050176, 31.706808, 0.000000e+00
2013.5, 450394.410704, 4601961.861732, 49.688841, 1.735969e-01
2013.5, 450779.725895, 4603765.591337, 55.629390, 2.353805e-01
2013.5, 450915.045961, 4602429.602959, 51.878049, 7.710100e-02
2013.5, 450956.654657, 4611753.582721, 87.197041, 0.000000e+00
2013.5, 451001.547782, 4593059.552753, 31.941245, 0.000000e+00
2013.5, 451393.265355, 4603317.802400, 55.430312, 1.592364e-01
2013.5, 451519.412437, 4602937.750218, 54.781973, 2.540220e-01
2013.5, 451571.960780, 4611496.491696, 87.127022, 3.397508e-01
2013.5, 451828.587671, 4592998.885181, 32.171415, 0.000000e+00
2013.5, 451948.188817, 4602811.310638, 54.932519, 1.690493e-01
2013.5, 451963.278914, 4610862.066038, 85.152251, 4.262575e-01
2013.5, 452079.319603, 4603378.106392, 57.691114, 1.754736e-01
2013.5, 452403.655825, 4610189.023887, 82.907086, 0.000000e+00
2013.5, 452441.239250, 4602289.931319, 53.719178, 4.394225e-01
2013.5, 452507.091292, 4592940.412183, 32.697797, 0.000000e+00
2013.5, 452515.522246, 4603717.548173, 58.440124, 1.769912e-01
2013.5, 452808.918031, 4609552.301214, 80.300945, 0.000000e+00
2013.5, 453134.901003, 4601949.091387, 52.883219, 1.731358e-01
2013.5, 453187.483718, 4608946.181520, 78.507256, 8.710801e-02
2013.5, 453298.601420, 4592864.709004, 33.266651, 0.000000e+00
2013.5, 453362.577874, 4592858.832193, 33.374601, 0.000000e+00
2013.5, 453381.065329, 4604398.948431, 62.666874, 0.000000e+00
2013.5, 453610.950675, 4608284.406585, 77.361688, 0.000000e+00
2013.5, 453841.961189, 4604767.513674, 63.938270, 5.037783e-01
2013.5, 453869.115290, 4601748.329155, 52.284296, 1.732102e-01
2013.5, 454037.247635, 4607625.624179, 76.667411, 3.752345e-01
2013.5, 454042.013024, 4592798.114540, 33.917957, 0.000000e+00
2013.5, 454412.124960, 4607031.426417, 75.459637, 8.257638e-01
2013.5, 454487.708185, 4605258.841149, 67.914368, 1.326053e+00
2013.5, 454556.021316, 4601558.796986, 53.336061, 1.117318e-01
2013.5, 454715.884653, 4593145.560646, 34.633260, 0.000000e+00
2013.5, 454808.673037, 4606381.738436, 73.707324, 7.745267e-01
2013.5, 454909.073840, 4601464.701670, 54.314595, 0.000000e+00
2013.5, 454976.878296, 4605757.616324, 69.876170, 4.542014e-01
2013.5, 455241.334362, 4593577.231045, 36.070030, 1.215805e-01
2013.5, 455301.976490, 4601362.068467, 53.744266, 6.948663e-02
2013.5, 455304.847524, 4594798.545292, 38.533875, 8.200727e-02
2013.5, 455856.317447, 4594064.247871, 36.922868, 0.000000e+00
2013.5, 455881.668181, 4594996.463148, 39.826828, 0.000000e+00
2013.5, 455962.737238, 4594588.361939, 38.578016, 1.133787e-01
2013.5, 456055.649993, 4601115.086524, 51.532070, 2.016129e-01
2013.5, 456310.531753, 4594579.727613, 38.154423, 7.800312e-02
2013.5, 456488.300125, 4600623.633780, 53.273509, 1.464798e-01
2013.5, 456630.153923, 4594707.177436, 38.429788, 6.613757e-02
2013.5, 456854.765251, 4600005.854594, 50.055026, 8.141692e-02
2013.5, 457254.503202, 4599337.531794, 50.627786, 0.000000e+00
2013.5, 457307.707648, 4594986.612407, 41.837927, 1.502559e-01
2013.5, 457645.585165, 4598695.457471, 50.978545, 0.000000e+00
2013.5, 457941.134777, 4595313.583603, 45.614925, 0.000000e+00
2013.5, 458063.893128, 4598065.402765, 50.477414, 3.825555e-01
2013.5, 458526.328409, 4597482.292817, 51.599199, 4.045307e-01
2013.5, 458648.053541, 4595670.177611, 47.197047, 7.588453e-02
2013.5, 458994.397662, 4596895.632584, 50.052943, 7.867821e-02
2013.5, 459314.004182, 4596089.599841, 47.988696, 0.000000e+00
2013.5, 459470.136065, 4596298.832198, 48.143251, 0.000000e+00
2013.5, 459775.594733, 4595911.472096, 48.848480, 2.000000e-01
2013.5, 459801.464985, 4583386.932231, 32.693217, 0.000000e+00
2013.5, 459818.590541, 4582676.503193, 33.342186, 0.000000e+00
2013.5, 459894.904211, 4596501.614579, 50.951693, 7.112376e-02
2013.5, 459898.117833, 4584126.862628, 34.579317, 0.000000e+00
2013.5, 459983.769866, 4581904.296535, 33.173208, 8.741259e-02
2013.5, 460019.607731, 4584927.520370, 36.118696, 0.000000e+00
2013.5, 460308.666821, 4581217.712082, 33.447196, 0.000000e+00
2013.5, 460386.005554, 4585513.072238, 37.352981, 8.123477e-01
2013.5, 460393.141802, 4596861.614737, 52.891968, 5.110733e-01
2013.5, 460724.113338, 4580616.614485, 34.405989, 0.000000e+00
2013.5, 460860.594464, 4594590.213890, 46.812810, 2.626395e-01
2013.5, 460962.299102, 4585942.012520, 37.966115, 3.679176e-01
2013.5, 461012.787819, 4597452.826597, 56.438946, 3.076923e-01
2013.5, 461220.484846, 4580093.649240, 34.075647, 0.000000e+00
2013.5, 461444.041228, 4594071.434715, 46.797645, 3.679853e-01
2013.5, 461536.847660, 4598006.454978, 57.801016, 3.967647e-01
2013.5, 461579.730810, 4586374.971357, 38.373531, 3.324468e-01
2013.5, 461822.254428, 4579637.379977, 29.248347, 0.000000e+00
2013.5, 462052.109025, 4598544.089429, 61.096400, 6.497726e-02
2013.5, 462190.140626, 4594083.594559, 49.003375, 7.434944e-01
2013.5, 462211.067112, 4586808.047529, 40.547015, 2.164133e-01
2013.5, 462449.815790, 4579180.915080, 30.602103, 0.000000e+00
2013.5, 462547.443500, 4599142.048250, 63.484898, 6.009615e-02
2013.5, 462827.506736, 4587231.413567, 41.976804, 1.331506e-01
2013.5, 462900.225166, 4594202.582022, 50.825146, 2.247191e-01
2013.5, 463004.029668, 4599742.445580, 66.105049, 6.033198e-02
2013.5, 463023.754703, 4578762.063385, 34.459408, 0.000000e+00
2013.5, 463393.974492, 4564361.928669, 40.132238, 0.000000e+00
2013.5, 463438.441173, 4600375.937384, 68.940647, 1.293661e-01
2013.5, 463464.829021, 4587658.394050, 42.995333, 3.657644e-01
2013.5, 463511.964966, 4565049.965273, 40.198593, 0.000000e+00
2013.5, 463613.628495, 4594304.393466, 53.474015, 2.414311e-01
2013.5, 463673.524874, 4578407.153356, 33.102420, 0.000000e+00
2013.5, 463828.541361, 4600956.908090, 69.627004, 0.000000e+00
2013.5, 463835.472974, 4565711.120097, 40.148873, 6.348825e-02
2013.5, 463901.927801, 4563843.672808, 40.500508, 0.000000e+00
2013.5, 464049.189056, 4588052.726277, 42.524227, 2.933846e-01
2013.5, 464113.598771, 4601371.705053, 71.622530, 0.000000e+00
2013.5, 464159.294028, 4566380.859299, 40.856584, 0.000000e+00
2013.5, 464358.167809, 4594373.374017, 56.345986, 2.895912e-01
2013.5, 464456.565701, 4578491.857723, 32.524696, 0.000000e+00
2013.5, 464464.212654, 4563328.516294, 41.322650, 0.000000e+00
2013.5, 464468.591318, 4567040.525159, 43.143665, 0.000000e+00
2013.5, 464692.545279, 4588495.142336, 43.669668, 2.503129e-01
2013.5, 464785.309242, 4567715.330724, 44.668897, 0.000000e+00
2013.5, 465007.519283, 4594004.500631, 56.458897, 7.414272e-01
2013.5, 465035.739561, 4562810.957461, 41.910186, 1.381215e-01
