"decmal year", "x utm", "y utm", "bottom depth(m)","recruits per sq m"
2014.52, 458059.587265, 4470262.949422, 70.000000, 8.674235e-02
2014.52, 453438.545973, 4473842.285858, 65.000000, 1.343168e-02
2014.52, 435123.791854, 4482137.535729, 71.000000, 8.333483e-01
2014.52, 545630.858809, 4470606.383262, 103.000000, 0.000000e+00
2014.52, 421042.897260, 4488334.359379, 65.000000, 2.225984e-03
2014.52, 438703.147407, 4491742.948598, 64.000000, 5.232457e-02
2014.52, 462857.288703, 4492793.440686, 53.000000, 0.000000e+00
2014.52, 514058.113450, 4487363.874919, 70.000000, 9.405047e-04
2014.52, 547961.897130, 4485673.106274, 91.000000, 9.019902e-01
2014.52, 447877.073417, 4498755.498634, 55.000000, 9.959995e-04
2014.52, 454745.338945, 4501807.657307, 48.000000, 0.000000e+00
2014.56, 475427.496380, 4501366.379923, 49.000000, 1.507039e-03
2014.52, 556740.525878, 4492051.007908, 91.000000, 6.115982e-02
2014.52, 571416.486708, 4492199.361902, 95.000000, 3.082455e-02
2014.56, 486750.671983, 4504012.757426, 67.000000, 1.471337e-02
2014.52, 558367.521653, 4498291.226418, 80.000000, 1.408797e+01
2014.56, 482464.590581, 4510315.608707, 64.000000, 1.873872e-02
2014.56, 497923.015563, 4509973.242375, 66.000000, 4.701915e-03
2014.56, 482820.939150, 4514710.596696, 65.000000, 5.812108e-02
2014.52, 639355.997203, 4498168.184393, 98.000000, 7.482453e-02
2014.56, 475958.141278, 4519003.479437, 59.000000, 4.338977e-01
2014.56, 487562.793137, 4519651.981211, 71.000000, 3.987000e-01
2014.56, 486997.132976, 4528811.062158, 67.000000, 1.270451e+00
2014.56, 489224.524949, 4537355.143694, 72.000000, 2.754702e-01
2014.56, 482870.558695, 4539654.017408, 61.000000, 0.000000e+00
2014.56, 474533.633697, 4543530.298933, 53.000000, 1.092527e+00
2014.53, 598334.468404, 4529822.218707, 61.000000, 5.265420e-04
2014.56, 501227.370009, 4541821.033746, 78.000000, 1.464224e-01
2014.54, 508825.975141, 4542658.816223, 69.000000, 0.000000e+00
2014.56, 473395.241091, 4547131.139531, 51.000000, 4.194948e-02
2014.52, 628374.973546, 4529251.774770, 77.000000, 9.321452e-03
2014.53, 617196.762598, 4531264.101626, 70.000000, 3.639815e-03
2014.56, 475853.925443, 4553938.816547, 53.000000, 3.273978e-01
