"decmal year", "x utm", "y utm", "bottom depth(m)","recruits per sq m"
1989.52, 474410.757183, 4433349.860610, 108.000000, 1.310588e-03
1989.52, 440320.622871, 4437237.517791, 108.000000, 0.000000e+00
1988.57, 428973.199564, 4439189.039877, 110.000000, 0.000000e+00
1988.07, 451685.353079, 4437156.623629, 103.500000, 6.770496e-04
1987.56, 474417.003202, 4435203.420405, 104.000000, 0.000000e+00
1985.59, 468736.629674, 4437067.189944, 98.000000, 0.000000e+00
1987.56, 444624.030548, 4442754.855781, 93.000000, 0.000000e+00
1985.59, 429025.220209, 4444738.771646, 99.000000, 0.000000e+00
1985.59, 447473.865920, 4444588.241765, 93.000000, 0.000000e+00
1981.49, 410589.793480, 4446788.023854, 103.000000, 0.000000e+00
1988.57, 458835.984587, 4444517.913170, 87.000000, 0.000000e+00
1988.57, 481538.564035, 4442574.888676, 111.000000, 0.000000e+00
1984.61, 410633.504315, 4450484.220733, 100.000000, 0.000000e+00
1987.56, 389382.366190, 4452619.601566, 101.000000, 0.000000e+00
1988.57, 448921.229086, 4448274.618814, 88.000000, 0.000000e+00
1983.62, 451756.117012, 4448255.994704, 84.000000, 0.000000e+00
1988.57, 383735.043260, 4454547.497018, 104.000000, 0.000000e+00
1982.54, 389409.369449, 4454462.190715, 97.000000, 0.000000e+00
1987.56, 481552.100304, 4448124.558501, 100.000000, 0.000000e+00
1980.43, 409256.560992, 4454197.390203, 94.000000, 4.416640e-03
1987.56, 413510.103542, 4454147.434472, 94.000000, 0.000000e+00
1985.59, 429129.424312, 4455838.376367, 87.000000, 0.000000e+00
1987.56, 403638.211231, 4457975.011538, 93.000000, 0.000000e+00
1989.52, 461719.113100, 4453748.858420, 82.000000, 2.370622e-03
1984.61, 385240.277353, 4460075.754206, 96.000000, 0.000000e+00
1983.62, 388071.100967, 4460033.152485, 95.000000, 2.021802e-03
1980.43, 488657.600190, 4451817.769606, 97.000000, 0.000000e+00
1989.52, 471646.645196, 4453705.026542, 90.000000, 2.538727e-03
1979.41, 477312.219771, 4453685.865774, 91.000000, 0.000000e+00
1987.56, 453235.203895, 4457504.071691, 78.000000, 6.677882e-04
1989.52, 416413.021322, 4459665.295941, 92.000000, 0.000000e+00
1985.59, 395186.691534, 4461784.828976, 90.000000, 6.011985e-04
1979.41, 456066.612942, 4457487.035588, 73.000000, 0.000000e+00
1984.61, 382467.352371, 4463826.865159, 92.000000, 0.000000e+00
1981.49, 464569.328582, 4457442.269621, 75.000000, 0.000000e+00
1981.49, 426343.057838, 4461415.488155, 78.000000, 0.000000e+00
1982.54, 417844.380173, 4461503.442348, 83.000000, 0.000000e+00
1980.43, 475911.923979, 4457397.485004, 82.000000, 0.000000e+00
1983.62, 382496.146457, 4465669.494932, 92.000000, 0.000000e+00
1988.57, 464577.991487, 4459284.803131, 79.000000, 1.336293e-03
1989.52, 436276.665569, 4463178.641581, 78.000000, 0.000000e+00
1987.55, 492917.276784, 4457362.321445, 99.500000, 0.000000e+00
1985.59, 484418.414953, 4459217.634252, 90.000000, 0.000000e+00
1981.49, 392427.497135, 4467374.937040, 83.000000, 0.000000e+00
1980.43, 468835.974764, 4461119.652084, 75.000000, 0.000000e+00
1988.57, 492919.008497, 4459204.847168, 96.000000, 0.000000e+00
1988.12, 445495.985760, 4464948.895058, 74.500000, 0.000000e+00
1987.56, 470262.553542, 4462967.552123, 81.000000, 0.000000e+00
1980.43, 396699.270060, 4469169.066121, 79.000000, 0.000000e+00
2018.53, 456833.029328, 4465097.233070, 74.000000, 4.362815e-03
2001.59, 439212.409067, 4466856.376484, 72.500000, 0.000000e+00
2018.53, 460348.659846, 4464900.270567, 75.000000, 0.000000e+00
2000.53, 443626.427798, 4466555.560623, 72.000000, 0.000000e+00
1988.57, 480177.879137, 4462934.896149, 85.000000, 0.000000e+00
2018.53, 447303.058423, 4466434.524297, 72.000000, 0.000000e+00
1982.54, 450464.686818, 4466768.229849, 67.000000, 0.000000e+00
1982.54, 519831.884509, 4459227.625091, 96.000000, 0.000000e+00
1979.41, 521251.485061, 4459231.496302, 102.000000, 0.000000e+00
