"decmal year", "latitude", "longitude", "bottom depth(m)","recruits per m^2"
1979.4, 41.0833, -70.9667, 37, 0.000000e+00
1979.4, 40.9333, -70.8167, 48, 0.000000e+00
1979.41, 40.5833, -70.9167, 70, 0.000000e+00
1979.41, 40.6333, -70.75, 62, 0.000000e+00
1979.41, 40.75, -70.7333, 58, 0.000000e+00
1979.41, 40.4167, -70.65, 88, 0.000000e+00
1979.41, 40.4833, -70.9667, 73, 0.000000e+00
1979.4, 41.1167, -70.7833, 33, 1.250835e-03
1979.4, 40.9167, -70.3167, 44, 0.000000e+00
1979.4, 40.8, -70.15, 38, 0.000000e+00
1979.4, 40.8167, -70.4167, 53, 0.000000e+00
1979.41, 40.7333, -70.4333, 53, 0.000000e+00
1979.41, 40.5333, -70.0167, 64, 0.000000e+00
1979.41, 40.65, -70.4167, 53, 0.000000e+00
1979.41, 40.4167, -70.4167, 77, 0.000000e+00
1979.41, 40.3333, -70.55, 91, 0.000000e+00
1979.4, 40.7, -69.9667, 38, 0.000000e+00
1979.4, 40.8167, -69.5333, 41, 0.000000e+00
1979.4, 40.7, -69.8167, 48, 0.000000e+00
1979.4, 40.9, -69.15, 64, 2.643320e-02
1979.41, 40.85, -68.95, 71, 2.971861e-03
1979.41, 40.65, -69, 66, 2.280812e-04
1979.41, 40.4, -69.6333, 66, 0.000000e+00
1979.41, 40.5167, -69.6333, 65, 0.000000e+00
1979.41, 40.5667, -69.6667, 62, 0.000000e+00
1979.41, 40.6, -69.8333, 57, 0.000000e+00
1979.4, 40.7167, -69.1667, 70, 3.884497e-03
1979.4, 40.8167, -69.3, 55, 1.673080e-03
1979.4, 40.6167, -69.45, 53, 0.000000e+00
1979.4, 40.5833, -69.4167, 50, 0.000000e+00
1979.4, 40.5667, -69.2667, 53, 0.000000e+00
1979.41, 40.3167, -69.05, 93, 0.000000e+00
1979.41, 40.2333, -69.2667, 91, 0.000000e+00
1979.41, 40.2667, -69.5167, 73, 0.000000e+00
1979.4, 41.0167, -69.3, 50, 2.372680e-02
1979.4, 41.4167, -69.4167, 40, 9.200745e-04
1979.4, 41.5167, -69.5833, 35, 0.000000e+00
1979.41, 41.6833, -69.8167, 33, 9.170563e-04
1979.41, 41.6167, -69.75, 35, 0.000000e+00
1979.4, 41.1, -69.2, 52, 3.032988e-04
1979.4, 41.3, -69.3833, 46, 0.000000e+00
1979.4, 41.6167, -69.6167, 66, 0.000000e+00
1979.41, 41.8833, -69.8667, 47, 0.000000e+00
1979.4, 41.0333, -69.0833, 79, 2.774786e-03
1979.4, 41.25, -69.3, 64, 0.000000e+00
1979.4, 41.65, -69.6167, 77, 3.080184e-04
1979.41, 42, -69.8833, 62, 0.000000e+00
1979.41, 41.8, -69.8333, 69, 0.000000e+00
1979.41, 41.55, -69.4333, 66, 0.000000e+00
1979.41, 41.4167, -69.3333, 73, 0.000000e+00
1979.4, 41.7, -69.7, 91, 0.000000e+00
1979.41, 41.35, -69.3, 91, 0.000000e+00
1979.41, 41.4667, -69.2833, 97, 0.000000e+00
1979.41, 41.6, -68.4833, 101, 0.000000e+00
1979.41, 41.3, -68.8, 98, 0.000000e+00
1979.41, 41.35, -68.65, 84, 0.000000e+00
1979.41, 41.5333, -68.4333, 57, 0.000000e+00
