"decmal year", "x utm", "y utm", "bottom depth(m)","Scallops per sq m"
2016.5, 520440.065284, 4150090.451406, 56.132415, 8.029642e-02
2016.5, 520585.486304, 4150802.581968, 56.508637, 0.000000e+00
2016.5, 520738.646187, 4151535.601745, 52.314620, 0.000000e+00
2016.5, 520896.309441, 4152295.470975, 57.128010, 0.000000e+00
2016.5, 521051.845272, 4153015.780170, 57.456948, 9.749276e-02
2016.5, 521234.643191, 4153718.666885, 56.897751, 0.000000e+00
2016.5, 521442.816186, 4154485.916711, 56.751506, 0.000000e+00
2016.5, 521652.007949, 4155215.420985, 56.484267, 9.138082e-02
2016.5, 521824.181017, 4148205.388194, 51.995176, 0.000000e+00
2016.5, 521845.921829, 4155897.028764, 56.741962, 0.000000e+00
2016.5, 522066.524038, 4156630.839633, 56.969562, 0.000000e+00
2016.5, 522272.883217, 4157338.698331, 56.177660, 9.101811e-02
2016.5, 522289.928547, 4147972.485712, 54.387692, 9.600224e-02
2016.5, 522481.431801, 4158054.016843, 54.371289, 0.000000e+00
2016.5, 522702.663001, 4158784.047096, 54.406213, 9.568469e-02
2016.5, 522928.281505, 4159493.822103, 53.924189, 9.731383e-02
2016.5, 522973.847089, 4147631.585739, 53.683769, 0.000000e+00
2016.5, 523164.185371, 4160175.716727, 52.889107, 0.000000e+00
2016.5, 523443.251808, 4160918.029074, 52.269998, 0.000000e+00
2016.5, 523673.076366, 4147293.925505, 47.506728, 2.828167e-01
2016.5, 523689.499958, 4161631.126603, 51.790418, 0.000000e+00
2016.5, 523920.066157, 4162276.350363, 52.115204, 9.737420e-02
2016.5, 524149.320453, 4162993.285996, 53.398096, 9.444753e-02
2016.5, 524311.841535, 4147002.332579, 47.703337, 0.000000e+00
2016.5, 524357.598175, 4163720.125807, 54.018103, 0.000000e+00
2016.5, 524578.194055, 4164476.139346, 54.140123, 0.000000e+00
2016.5, 524791.447256, 4165194.079796, 54.310506, 0.000000e+00
2016.5, 524990.787130, 4165886.240904, 54.276619, 0.000000e+00
2016.5, 525038.715415, 4146665.983843, 53.239404, 7.221667e-02
2016.5, 525213.381989, 4166639.729882, 54.016732, 0.000000e+00
2016.5, 525416.210792, 4167358.947185, 53.780926, 0.000000e+00
2016.5, 525603.373707, 4168046.271444, 53.884459, 8.897319e-02
2016.5, 525705.815500, 4146358.073872, 60.894542, 4.287323e-01
2016.5, 525792.830097, 4168781.202483, 53.959832, 0.000000e+00
2016.5, 525987.274491, 4169551.681178, 53.810305, 0.000000e+00
2016.5, 526172.523984, 4170271.818401, 53.567607, 0.000000e+00
2016.5, 526352.850404, 4170990.265135, 53.123345, 0.000000e+00
2016.5, 526416.953696, 4146030.813141, 58.406300, 1.970382e-01
2016.5, 526513.091180, 4171669.301974, 53.188076, 0.000000e+00
2016.5, 526701.263940, 4172416.997582, 52.993252, 0.000000e+00
2016.5, 526896.528256, 4173132.590781, 52.324159, 0.000000e+00
2016.5, 527081.551639, 4173854.819712, 52.180863, 9.517758e-02
2016.5, 527082.751252, 4145727.497281, 54.119492, 9.060161e-02
2016.5, 527264.978301, 4174603.247488, 52.015275, 0.000000e+00
2016.5, 527458.665208, 4175334.587301, 51.983657, 0.000000e+00
2016.5, 527646.041422, 4176074.135224, 51.572412, 1.912578e-01
2016.5, 527732.758148, 4145425.652224, 53.326338, 1.879645e-01
2016.5, 527844.139388, 4176777.834506, 51.221646, 0.000000e+00
2016.5, 528045.102413, 4177515.818715, 51.036694, 0.000000e+00
2016.5, 528227.621515, 4178218.203740, 50.839462, 0.000000e+00
2016.5, 528407.017596, 4145119.863388, 56.673716, 3.989644e-01
2016.5, 528428.522498, 4178942.722942, 51.051285, 0.000000e+00
2016.5, 528643.878427, 4179709.525223, 50.885155, 1.292861e-01
2016.5, 528870.363436, 4180391.316709, 50.796023, 0.000000e+00
2016.5, 529122.781644, 4144796.467062, 57.648336, 9.245088e-02
2016.5, 529386.361820, 4180706.360165, 51.216421, 8.998897e-02
2016.5, 529790.906305, 4144500.282448, 58.533344, 7.391924e-02
2016.5, 530075.177791, 4180457.946360, 51.944987, 0.000000e+00
2016.5, 530524.255279, 4144192.553126, 55.815539, 2.715711e-01
2016.5, 530794.678415, 4180189.600625, 52.345037, 0.000000e+00
2016.5, 531197.457573, 4143920.935458, 57.710375, 2.003394e-01
2016.5, 531500.417410, 4179926.776472, 52.430424, 0.000000e+00
2016.5, 531853.585989, 4143654.023098, 61.229367, 8.063655e-02
2016.5, 532274.259424, 4179634.614954, 53.348932, 1.537274e-01
2016.5, 532556.600270, 4143360.262321, 61.383424, 8.581772e-02
2016.5, 532879.246667, 4179403.318884, 53.908502, 0.000000e+00
2016.5, 533275.006209, 4143060.123845, 57.399746, 0.000000e+00
2016.5, 533598.482279, 4179124.343050, 54.135198, 9.499438e-02
2016.5, 533940.268865, 4142781.613581, 63.947185, 8.367705e-02
2016.5, 534311.789505, 4178840.394674, 54.610731, 9.663038e-02
2016.5, 534683.734914, 4142474.360726, 61.534869, 0.000000e+00
2016.5, 535050.957243, 4178541.785919, 57.396927, 0.000000e+00
2016.5, 535384.116030, 4142185.013251, 63.054103, 1.778794e-01
2016.5, 535727.225546, 4178272.864276, 57.592020, 8.597520e-02
2016.5, 535945.338018, 4142169.289995, 66.235825, 0.000000e+00
2016.5, 536131.358953, 4142866.197838, 65.064968, 0.000000e+00
2016.5, 536243.177631, 4143582.124089, 63.546587, 8.768908e-02
2016.5, 536372.925169, 4144340.204080, 61.769229, 0.000000e+00
2016.5, 536403.423966, 4178000.596541, 56.100862, 0.000000e+00
2016.5, 536509.661304, 4145105.721026, 60.186308, 3.187293e-01
2016.5, 536641.794625, 4145796.753322, 60.975525, 8.753143e-02
2016.5, 536791.653324, 4146527.502876, 60.296359, 8.240762e-02
2016.5, 536955.392047, 4147300.284360, 60.560444, 0.000000e+00
2016.5, 537095.489885, 4147984.916229, 61.458135, 1.121742e-01
2016.5, 537107.631987, 4177708.494281, 56.235302, 0.000000e+00
2016.5, 537258.715497, 4148756.354277, 61.764272, 2.587340e-01
2016.5, 537421.896195, 4149462.217861, 63.653418, 1.911095e-01
2016.5, 537654.268768, 4150176.416428, 63.644916, 2.160223e-01
2016.5, 537774.982732, 4177428.606040, 55.144965, 0.000000e+00
2016.5, 537879.979654, 4150902.311480, 63.602690, 7.505867e-02
2016.5, 538061.668213, 4151664.045470, 64.711144, 1.431433e-01
