"decmal year", "x utm", "y utm", "bottom depth(m)","Scallops per sq m"
2018.5, 410603.479409, 4501852.767262, 47.274002, 0.000000e+00
2018.5, 411308.179373, 4501952.681580, 47.302287, 0.000000e+00
2018.5, 412180.787115, 4502080.581022, 47.514434, 0.000000e+00
2018.5, 413002.266958, 4502177.067306, 47.138591, 0.000000e+00
2018.5, 413658.038285, 4502181.015240, 47.371259, 0.000000e+00
2018.5, 414387.183132, 4502179.729498, 47.646314, 0.000000e+00
2018.5, 415143.410352, 4502146.117608, 47.817834, 0.000000e+00
2018.5, 415189.154597, 4478370.909676, 73.206017, 0.000000e+00
2018.5, 415215.184339, 4479269.241319, 72.554532, 0.000000e+00
2018.5, 415218.598204, 4479994.272153, 71.638271, 0.000000e+00
2018.5, 415236.754619, 4480906.607077, 70.814235, 0.000000e+00
2018.5, 415237.004843, 4481509.688500, 70.172753, 0.000000e+00
2018.5, 415245.505188, 4482170.292469, 69.378046, 0.000000e+00
2018.5, 415257.969689, 4482899.973642, 68.539716, 0.000000e+00
2018.5, 415311.032588, 4491171.230856, 59.885209, 0.000000e+00
2018.5, 415314.753609, 4490456.293504, 60.601421, 0.000000e+00
2018.5, 415315.536535, 4489559.080502, 61.283788, 0.000000e+00
2018.5, 415324.137991, 4489144.704450, 61.872313, 0.000000e+00
2018.5, 415333.661022, 4484536.610181, 66.971442, 0.000000e+00
2018.5, 415353.247116, 4492048.506210, 59.305272, 0.000000e+00
2018.5, 415371.696919, 4483750.624590, 67.536211, 0.000000e+00
2018.5, 415377.507853, 4493443.696281, 57.977047, 0.000000e+00
2018.5, 415380.328783, 4492745.619124, 58.657953, 0.000000e+00
2018.5, 415382.711371, 4494208.456512, 57.458989, 0.000000e+00
2018.5, 415383.440324, 4495508.911866, 56.809993, 0.000000e+00
2018.5, 415386.579642, 4494942.868236, 57.018770, 0.000000e+00
2018.5, 415403.475719, 4496327.540622, 55.935141, 0.000000e+00
2018.5, 415424.317607, 4497233.808079, 54.856446, 0.000000e+00
2018.5, 415433.270680, 4497980.302867, 53.969684, 0.000000e+00
2018.5, 415443.884786, 4500186.736140, 50.963943, 0.000000e+00
2018.5, 415444.146449, 4498621.882125, 53.099792, 0.000000e+00
2018.5, 415446.388654, 4501003.076832, 49.510009, 0.000000e+00
