"decmal year", "x utm", "y utm", "bottom depth(m)","recruits per sq m"
1979.39, 476136.087189, 4046839.837759, 29.000000, 0.000000e+00
1979.39, 517907.216527, 4041279.112397, 64.000000, 6.150832e-04
1979.39, 516404.927721, 4044969.928616, 46.000000, 4.638832e-02
1979.39, 473167.973093, 4050542.449327, 37.000000, 0.000000e+00
1979.39, 522364.831620, 4048677.188821, 79.000000, 0.000000e+00
1979.39, 508940.153018, 4054199.060477, 31.000000, 1.738579e-03
1979.39, 516380.230895, 4057915.003848, 49.000000, 3.056360e-03
1979.39, 523802.244501, 4069025.311006, 66.000000, 9.710478e-03
1979.39, 459890.867140, 4080179.633442, 32.000000, 0.000000e+00
1979.39, 514867.844275, 4074551.581227, 40.000000, 7.150145e-02
1979.39, 514858.168161, 4080098.102287, 40.000000, 2.240379e-01
1979.39, 516323.555736, 4087488.854041, 57.000000, 1.431656e-01
1979.39, 511868.274295, 4089334.030298, 51.000000, 7.078938e-02
1979.39, 504444.914529, 4102272.828989, 46.000000, 2.210978e-02
1979.39, 519264.271577, 4102293.618012, 64.000000, 0.000000e+00
1979.39, 531066.762655, 4115264.097910, 86.000000, 0.000000e+00
1979.39, 522170.998323, 4122635.547136, 57.000000, 4.550842e-03
1979.39, 488186.246787, 4128161.517507, 27.000000, 4.145125e-03
1979.39, 528049.074883, 4133747.187516, 57.000000, 1.137711e-03
1979.39, 504425.390859, 4139248.344505, 32.000000, 0.000000e+00
1979.39, 541315.882405, 4137496.628026, 97.000000, 0.000000e+00
1979.39, 536848.579400, 4146728.472821, 55.000000, 2.841680e-03
1979.39, 480858.638225, 4155910.558199, 28.000000, 0.000000e+00
1979.39, 530929.684946, 4152251.618073, 55.000000, 2.955157e-03
1979.39, 526493.448692, 4157783.545642, 46.000000, 7.650722e-03
1979.39, 547086.187529, 4159716.585167, 68.000000, 5.717292e-04
1979.39, 536783.052600, 4161517.312549, 60.000000, 0.000000e+00
1979.39, 545569.584828, 4168961.303431, 62.000000, 3.983195e-03
1979.39, 529381.698248, 4172582.508004, 46.000000, 2.942585e-03
1979.39, 536725.521936, 4174464.754763, 55.000000, 5.104915e-03
1979.39, 504403.737184, 4179931.591370, 31.000000, 0.000000e+00
1979.39, 522018.702853, 4179959.835032, 42.000000, 5.964165e-04
1979.39, 542566.649685, 4180040.367914, 57.000000, 6.699218e-02
1979.38, 554303.813714, 4181951.205983, 62.000000, 7.112847e-02
1979.39, 533736.369737, 4185547.012060, 53.000000, 7.969090e-03
1979.38, 555727.958939, 4187508.483358, 57.000000, 5.677302e-04
1979.38, 573310.927775, 4189499.548847, 101.000000, 0.000000e+00
1979.38, 543958.346002, 4194837.731031, 49.000000, 1.704544e-03
1979.38, 542461.366297, 4200377.573432, 46.000000, 1.702214e-03
1979.39, 507313.518057, 4205818.293059, 29.000000, 0.000000e+00
1979.38, 554169.343424, 4202299.676941, 55.000000, 1.701638e-03
1979.38, 555589.712600, 4207857.141501, 46.000000, 0.000000e+00
1979.38, 559978.654012, 4207888.200271, 55.000000, 0.000000e+00
1979.38, 570206.645077, 4209811.727285, 62.000000, 1.138055e-03
1979.38, 579000.465326, 4208050.080908, 80.000000, 0.000000e+00
1979.38, 574476.118881, 4222799.311810, 60.000000, 6.822097e-03
1979.38, 567131.462137, 4228283.586386, 46.000000, 5.106642e-03
1979.38, 581681.828098, 4232112.384078, 60.000000, 8.527620e-03
1979.38, 593357.211142, 4232238.505580, 70.000000, 8.566742e-03
1979.38, 574357.291314, 4235748.217933, 58.000000, 1.703968e-03
1979.38, 602086.090449, 4234197.153147, 77.000000, 0.000000e+00
1979.38, 567039.533969, 4239379.502036, 53.000000, 6.830650e-03
1979.38, 558282.160952, 4241164.735597, 42.000000, 1.789707e-03
1979.38, 564074.995919, 4244903.824742, 44.000000, 2.721062e-02
1979.38, 588879.386896, 4241443.442049, 66.000000, 0.000000e+00
1979.39, 520352.639291, 4257624.193651, 39.000000, 0.000000e+00
1979.38, 577128.958556, 4250566.673030, 55.000000, 5.619760e-03
1979.38, 584333.893479, 4258041.002327, 55.000000, 3.371857e-03
1979.38, 590144.146905, 4258104.090652, 55.000000, 7.858657e-03
1979.38, 572645.788480, 4263475.479315, 51.000000, 3.926743e-03
1979.39, 521774.354273, 4270566.216738, 39.000000, 0.000000e+00
1979.39, 552282.751900, 4267012.133418, 40.000000, 0.000000e+00
1979.38, 572612.306863, 4267170.608690, 51.000000, 2.804815e-03
1979.38, 611877.310582, 4263926.797159, 62.000000, 1.013598e-02
1979.39, 530469.992120, 4274300.853121, 44.000000, 0.000000e+00
1979.38, 585683.312476, 4267299.753884, 57.000000, 5.624840e-04
1979.38, 595852.645466, 4267414.983908, 51.000000, 5.609630e-03
1979.38, 619065.893888, 4269580.002906, 60.000000, 6.526172e-02
1979.38, 605948.589710, 4273091.558436, 57.000000, 7.303912e-03
1979.38, 601570.969518, 4274888.229584, 55.000000, 0.000000e+00
1979.39, 543478.232986, 4283604.734615, 31.000000, 0.000000e+00
1979.39, 549255.407892, 4287333.689788, 33.000000, 3.451907e-03
1979.38, 614550.568075, 4280613.428817, 55.000000, 1.708031e-03
1979.38, 630498.101588, 4280858.393477, 70.000000, 6.306042e-03
1979.38, 607244.935982, 4284207.855441, 46.000000, 1.692496e-03
1979.38, 618817.905290, 4286225.694192, 57.000000, 7.978110e-03
1979.38, 614444.355299, 4288004.152130, 46.000000, 6.205817e-03
1979.38, 636206.359526, 4286504.166699, 71.000000, 1.147081e-03
1979.38, 627393.640560, 4293751.067231, 55.000000, 2.846717e-03
1979.38, 622993.139121, 4297389.153583, 55.000000, 2.265903e-03
1979.38, 614284.585266, 4299101.484507, 40.000000, 0.000000e+00
1979.38, 620037.382703, 4301040.193875, 46.000000, 0.000000e+00
1979.38, 647555.447351, 4299650.839916, 75.000000, 1.723799e-03
1979.38, 638842.745465, 4301347.371444, 64.000000, 1.486412e-02
1979.38, 667806.821239, 4300053.610079, 91.000000, 0.000000e+00
1979.38, 650375.624958, 4303411.865506, 73.000000, 1.148139e-03
1979.38, 619897.227842, 4310284.488777, 49.000000, 2.655187e-02
1979.38, 625678.692140, 4310374.337877, 46.000000, 4.513322e-03
1979.38, 608292.225469, 4313824.195611, 40.000000, 5.661765e-04
1979.39, 583709.083317, 4317221.016320, 35.000000, 0.000000e+00
1979.38, 640062.412642, 4314324.117786, 64.000000, 6.860362e-03
1979.38, 650164.654626, 4314509.895969, 77.000000, 5.751305e-04
1979.38, 635666.854971, 4317944.035106, 53.000000, 2.844117e-03
1979.38, 626977.172565, 4319653.084393, 53.000000, 1.301709e-02
1979.38, 629768.676586, 4325249.074753, 51.000000, 3.392680e-03
1979.38, 644191.105572, 4325500.321161, 62.000000, 1.142344e-03
1979.38, 625324.863289, 4332570.166098, 48.000000, 4.517417e-03
1979.38, 648447.185421, 4329276.574304, 62.000000, 0.000000e+00
1979.38, 669986.862150, 4333410.868320, 71.000000, 4.760387e-02
1979.38, 664182.557791, 4335141.508905, 70.000000, 4.758195e-02
1979.38, 688709.918290, 4333839.003322, 91.000000, 0.000000e+00
1979.38, 642443.546969, 4342121.442508, 51.000000, 2.827233e-03
1979.38, 652518.816445, 4342311.433544, 62.000000, 3.427032e-03
1979.38, 648167.144211, 4344070.800299, 55.000000, 7.970813e-03
1979.39, 614993.053474, 4349062.683139, 38.000000, 2.828310e-03
1979.38, 684257.298882, 4339285.692283, 86.000000, 6.991777e-03
1979.38, 638028.790304, 4347593.236818, 42.000000, 1.133384e-03
1979.38, 689884.107649, 4344972.995272, 90.000000, 3.089965e-03
1979.38, 666704.925720, 4351850.533124, 68.000000, 0.000000e+00
1979.38, 647956.532296, 4355169.447342, 51.000000, 5.654465e-04
1979.38, 670935.579949, 4355639.890623, 73.000000, 2.181464e-02
1979.39, 621896.115785, 4367673.167059, 31.000000, 0.000000e+00
1979.38, 698233.858109, 4356286.942940, 101.000000, 0.000000e+00
1979.38, 672169.957240, 4364928.315379, 64.000000, 5.787762e-04
1979.38, 663522.009633, 4366584.652032, 66.000000, 5.722225e-04
1979.38, 649031.813456, 4373698.622165, 37.000000, 5.654052e-04
1979.38, 686343.900072, 4372652.086109, 62.000000, 7.517103e-03
1979.39, 666149.930230, 4377744.828451, 66.000000, 5.793150e-04
1979.38, 683383.282333, 4376290.757558, 59.000000, 4.619473e-03
1979.39, 664604.926170, 4383263.985539, 49.000000, 0.000000e+00
1979.39, 673193.517180, 4383451.910608, 66.000000, 4.055205e-03
1979.39, 671635.659358, 4388969.636719, 64.000000, 0.000000e+00
1979.39, 637141.560763, 4397538.213786, 51.000000, 5.719955e-04
1979.38, 693092.077696, 4389477.478355, 68.000000, 4.638837e-03
1979.39, 662896.499514, 4396186.629732, 46.000000, 1.173422e-03
1979.39, 671470.631052, 4396373.101976, 60.000000, 0.000000e+00
1979.38, 691474.465596, 4396845.363377, 71.000000, 5.889560e-03
1979.39, 651284.998057, 4405198.828930, 42.000000, 0.000000e+00
1979.39, 665591.930232, 4403651.147519, 54.000000, 5.889318e-03
1979.39, 678483.929580, 4402085.668020, 71.000000, 0.000000e+00
1979.39, 658303.771901, 4410892.799566, 48.000000, 7.634442e-03
1979.38, 717093.727619, 4401225.717588, 80.000000, 0.000000e+00
1979.39, 668330.957849, 4409263.365327, 54.000000, 0.000000e+00
1979.38, 691243.928838, 4406091.731768, 64.000000, 0.000000e+00
1979.38, 702668.511771, 4406385.350149, 57.000000, 6.435887e-03
1979.38, 715514.984785, 4406735.876915, 69.000000, 5.883992e-04
1979.39, 682503.299368, 4413286.556920, 58.000000, 5.955932e-04
1979.39, 646718.824891, 4419922.429061, 69.000000, 0.000000e+00
1979.38, 703942.282514, 4411973.282262, 57.000000, 2.398831e-02
1979.39, 653838.519432, 4420062.676643, 71.000000, 0.000000e+00
1979.38, 688027.583869, 4420828.781579, 53.000000, 0.000000e+00
1979.39, 636578.640908, 4428983.187626, 58.000000, 0.000000e+00
1979.39, 645150.590720, 4427287.574520, 60.000000, 0.000000e+00
1979.39, 655115.321664, 4427484.137790, 46.000000, 0.000000e+00
1979.38, 732362.682683, 4416494.993891, 84.000000, 0.000000e+00
1979.39, 649383.558279, 4429223.879463, 48.000000, 6.459912e-03
1979.38, 703695.250538, 4421231.107141, 57.000000, 0.000000e+00
1979.39, 620842.982676, 4434268.175312, 42.000000, 0.000000e+00
1979.39, 676505.327732, 4426106.533020, 49.000000, 5.337357e-03
1979.39, 606571.320266, 4437751.378282, 29.000000, 5.662713e-04
1979.39, 670683.876754, 4431526.710546, 49.000000, 0.000000e+00
1979.38, 703546.942129, 4426781.414847, 57.000000, 1.170161e-03
1979.38, 692068.000538, 4430182.011599, 55.000000, 5.947397e-03
1979.37, 720630.008637, 4427257.312303, 71.000000, 0.000000e+00
1979.39, 619272.913403, 4443491.748193, 68.000000, 0.000000e+00
1979.39, 670559.186393, 4437076.850757, 46.000000, 5.921932e-04
1979.39, 659113.123097, 4440526.200795, 42.000000, 5.753675e-04
1979.37, 720469.065343, 4432807.807064, 70.000000, 0.000000e+00
1979.38, 708989.731990, 4436182.840541, 60.000000, 0.000000e+00
1979.38, 684686.372067, 4441106.237694, 51.000000, 5.936052e-04
1979.39, 633377.588438, 4449278.822783, 38.000000, 0.000000e+00
1979.38, 691787.360146, 4441282.617964, 53.000000, 0.000000e+00
1979.38, 703051.656406, 4445275.326953, 57.000000, 0.000000e+00
1979.39, 638911.376733, 4456784.847138, 33.000000, 0.000000e+00
1979.37, 725831.477833, 4444076.314113, 51.000000, 0.000000e+00
1979.37, 730092.984646, 4444204.606765, 73.000000, 0.000000e+00
1979.37, 681483.644433, 4455834.552845, 48.000000, 2.371029e-03
1979.37, 698548.000005, 4454420.401438, 58.000000, 5.853558e-04
1979.37, 785704.768033, 4440539.905811, 86.000000, 0.000000e+00
1979.37, 742759.060175, 4448300.741677, 64.000000, 0.000000e+00
1979.37, 754177.367580, 4446819.796380, 64.000000, 5.870120e-04
1979.37, 728446.210539, 4451555.011138, 64.000000, 0.000000e+00
1979.37, 721299.191765, 4453197.781420, 64.000000, 0.000000e+00
1979.37, 709797.721992, 4458424.324119, 57.000000, 1.170161e-03
1979.37, 756834.837764, 4452466.910417, 64.000000, 0.000000e+00
1979.39, 659899.394822, 4470161.008115, 33.000000, 5.729842e-04
1979.37, 732418.110159, 4460943.667219, 58.000000, 0.000000e+00
1979.37, 689711.617499, 4467145.021061, 49.000000, 5.930397e-04
1979.37, 740922.446692, 4461210.898596, 62.000000, 0.000000e+00
1979.37, 728053.962472, 4464510.486261, 55.000000, 5.260780e-03
1979.37, 735085.073520, 4466582.714070, 58.000000, 5.268202e-03
1979.37, 717928.157531, 4471621.284985, 51.000000, 1.187210e-03
1979.37, 692311.688401, 4476475.541793, 46.000000, 1.729300e-03
1979.37, 707916.144002, 4475036.891121, 46.000000, 2.368773e-03
1979.37, 796203.787368, 4463182.519166, 88.000000, 0.000000e+00
1979.39, 760387.200298, 4472974.299465, 64.000000, 0.000000e+00
1979.39, 773125.516259, 4473427.146501, 71.000000, 0.000000e+00
1979.37, 718904.720515, 4486460.865347, 46.000000, 2.960967e-03
1979.37, 713207.629589, 4488151.599006, 46.000000, 3.458600e-03
1979.39, 734447.590522, 4486932.488444, 55.000000, 2.359789e-03
1979.39, 680410.871013, 4500238.920123, 27.000000, 0.000000e+00
1979.39, 707299.166332, 4497240.071592, 37.000000, 5.740410e-04
1979.37, 799642.667747, 4483703.104931, 71.000000, 0.000000e+00
1979.39, 729924.892174, 4496048.681573, 49.000000, 1.190918e-03
1979.39, 751086.175179, 4496732.026082, 51.000000, 1.192058e-03
1979.41, 878059.599693, 4474264.032154, 91.000000, 0.000000e+00
1979.39, 735386.532450, 4501775.946012, 53.000000, 1.073881e-02
1979.4, 773653.383304, 4497527.136319, 61.000000, 0.000000e+00
1979.41, 869104.813388, 4483102.291604, 88.000000, 0.000000e+00
1979.41, 841886.579123, 4489220.483209, 73.000000, 0.000000e+00
1979.39, 737974.124744, 4509271.189584, 46.000000, 2.914290e-03
1979.37, 800238.479993, 4504112.512467, 64.000000, 0.000000e+00
1979.4, 778882.647655, 4508839.848723, 65.000000, 0.000000e+00
1979.4, 764660.287736, 4512032.010321, 49.000000, 0.000000e+00
1979.41, 834325.484398, 4500004.688666, 68.000000, 0.000000e+00
1979.4, 784520.430299, 4509053.904155, 68.000000, 0.000000e+00
1979.41, 845610.814629, 4500520.220559, 70.000000, 0.000000e+00
1979.4, 765805.457675, 4519477.102460, 42.000000, 1.163537e-03
1979.41, 859455.662628, 4506741.549051, 62.000000, 0.000000e+00
1979.41, 833576.115394, 4516661.143452, 57.000000, 0.000000e+00
1979.41, 860238.122358, 4519769.588022, 58.000000, 0.000000e+00
1979.4, 784922.447872, 4535023.221681, 53.000000, 4.403530e-02
1979.4, 783167.582884, 4544218.506838, 38.000000, 8.459360e-03
1979.41, 814086.898544, 4543619.328835, 49.000000, 0.000000e+00
1979.4, 852221.100806, 4539785.318322, 48.000000, 0.000000e+00
1979.41, 820942.553755, 4547631.895246, 46.000000, 0.000000e+00
1979.4, 838817.846701, 4555848.053702, 37.000000, 0.000000e+00
1979.4, 804822.509048, 4563629.111154, 33.000000, 1.205554e-03
1979.4, 854048.340702, 4560287.566505, 33.000000, 3.127087e-03
