"decmal year", "x utm", "y utm", "bottom depth(m)","recruits per sq m"
2018.53, 460348.659846, 4464900.270567, 75.000000, 0.000000e+00
2018.53, 456833.029328, 4465097.233070, 74.000000, 4.362815e-03
2018.53, 447303.058423, 4466434.524297, 72.000000, 0.000000e+00
2018.53, 474194.606220, 4464906.604011, 82.000000, 0.000000e+00
2018.53, 465840.071725, 4465772.413605, 77.000000, 5.077227e-03
2018.53, 468918.498275, 4466691.447586, 79.000000, 1.390647e-02
2018.53, 485526.225016, 4465053.850824, 87.000000, 0.000000e+00
2018.53, 438082.051499, 4470878.482888, 74.000000, 0.000000e+00
2018.53, 489230.897717, 4465946.705807, 90.000000, 0.000000e+00
2018.53, 496152.605353, 4465795.680125, 91.000000, 3.817465e-03
2018.53, 463138.667444, 4469137.383217, 75.000000, 1.740763e+00
2018.53, 474973.581877, 4469255.112026, 81.000000, 0.000000e+00
2018.53, 466941.151219, 4470862.381587, 76.000000, 1.319752e+00
2018.54, 460222.904976, 4471627.591612, 72.000000, 4.362815e-02
2018.53, 493700.022238, 4468106.075247, 90.000000, 0.000000e+00
2018.53, 487835.272004, 4469478.554990, 86.000000, 0.000000e+00
2018.53, 478637.049420, 4470853.275507, 82.000000, 0.000000e+00
2018.54, 470597.226263, 4472489.965256, 78.000000, 3.173147e+00
2018.53, 499490.633357, 4469069.127048, 87.000000, 0.000000e+00
2018.53, 481668.785421, 4471544.548772, 83.000000, 0.000000e+00
2018.54, 464304.397620, 4473260.978391, 74.000000, 3.849275e-01
2018.54, 468974.040440, 4473961.708104, 75.000000, 1.888463e+00
2018.54, 490649.030683, 4472604.664863, 85.000000, 0.000000e+00
2018.54, 474192.468554, 4474163.929296, 73.000000, 3.239572e+00
2018.54, 457102.730494, 4476606.596199, 66.000000, 0.000000e+00
2018.54, 453937.416265, 4477702.126754, 65.000000, 0.000000e+00
2018.53, 434188.759652, 4479903.311563, 74.000000, 0.000000e+00
2018.53, 418572.840901, 4482388.249049, 73.000000, 0.000000e+00
2018.54, 464829.498476, 4478475.565770, 67.000000, 0.000000e+00
2018.54, 475214.265039, 4477856.782251, 76.000000, 0.000000e+00
2018.54, 496819.015106, 4475096.970770, 81.000000, 0.000000e+00
2018.54, 449547.322387, 4480616.549304, 68.000000, 0.000000e+00
2018.54, 473912.086382, 4478915.711204, 74.000000, 0.000000e+00
2018.53, 425755.405132, 4483590.133959, 71.000000, 0.000000e+00
2018.53, 437727.861817, 4482381.819296, 71.000000, 0.000000e+00
2018.54, 478446.352541, 4478324.081917, 77.000000, 0.000000e+00
2018.54, 490925.941830, 4477044.267491, 82.000000, 2.460151e+00
2018.54, 481786.410836, 4478037.712418, 78.000000, 6.271548e-03
2018.54, 486924.980814, 4478082.476114, 81.000000, 1.483357e-01
2018.54, 469187.916553, 4480576.487228, 68.000000, 0.000000e+00
2018.53, 440980.272224, 4483188.001125, 71.000000, 0.000000e+00
2018.54, 499431.930947, 4478614.976952, 79.000000, 0.000000e+00
2018.54, 492047.917126, 4479451.673150, 81.000000, 2.908542e-01
2018.54, 455711.817718, 4483774.442220, 64.000000, 0.000000e+00
2018.43, 542877.631657, 4474108.921307, 99.000000, 9.950997e-03
2018.54, 481413.637158, 4481579.530065, 75.000000, 0.000000e+00
2018.53, 432620.105994, 4486466.889596, 68.000000, 6.035248e-02
2018.53, 427083.272875, 4487662.331872, 67.000000, 0.000000e+00
2018.54, 486338.405119, 4481901.913396, 78.000000, 0.000000e+00
2018.54, 481679.390907, 4482810.979300, 76.000000, 0.000000e+00
2018.54, 464076.527493, 4484118.069237, 63.000000, 0.000000e+00
2018.53, 436394.644409, 4487055.443890, 68.000000, 2.214129e-01
2018.54, 495338.288652, 4481091.691166, 79.000000, 0.000000e+00
2018.54, 504763.760673, 4480558.958000, 78.000000, 0.000000e+00
2018.54, 458008.385757, 4485337.446702, 61.000000, 0.000000e+00
2018.53, 429450.229367, 4488971.737045, 67.000000, 0.000000e+00
2018.54, 469101.521959, 4484284.308217, 63.000000, 0.000000e+00
2018.53, 446858.718951, 4487573.076315, 67.000000, 0.000000e+00
2018.53, 415965.032334, 4490921.004984, 63.000000, 0.000000e+00
2018.53, 455736.491853, 4487936.979593, 62.000000, 0.000000e+00
2018.54, 512374.395975, 4481300.273264, 76.000000, 0.000000e+00
2018.54, 496678.368671, 4483111.169978, 76.000000, 0.000000e+00
2018.54, 492273.052108, 4484013.525598, 77.000000, 0.000000e+00
2018.54, 468943.522889, 4487037.825726, 58.000000, 0.000000e+00
2018.54, 487733.578541, 4485118.501748, 77.000000, 0.000000e+00
2018.53, 442712.785957, 4490301.247769, 66.000000, 0.000000e+00
2018.54, 491936.211694, 4485923.086414, 78.000000, 0.000000e+00
2018.53, 444994.324978, 4490861.316407, 66.000000, 0.000000e+00
2018.53, 436809.997535, 4491092.689951, 67.000000, 0.000000e+00
2018.53, 419401.384156, 4493958.238240, 60.000000, 0.000000e+00
2018.54, 480099.130036, 4487632.466837, 66.000000, 1.090704e-03
2018.54, 465347.086920, 4489517.929596, 58.000000, 0.000000e+00
2018.53, 427456.032678, 4493764.443666, 63.000000, 0.000000e+00
2018.54, 459595.638168, 4490601.406990, 56.000000, 0.000000e+00
2018.54, 507751.225484, 4485112.452785, 75.000000, 0.000000e+00
2018.43, 510342.440169, 4485837.093646, 72.000000, 0.000000e+00
2018.54, 498983.823588, 4487883.511006, 77.000000, 0.000000e+00
2018.54, 510951.825651, 4486170.964091, 74.000000, 0.000000e+00
2018.54, 475297.053475, 4490066.662090, 54.000000, 1.090704e-03
2018.54, 504445.983446, 4487529.563797, 76.000000, 0.000000e+00
