UTM-X,UTM-Y,Depth,Lat,Lon
441236,4.46E+06,75.1565,40.3075,-69.6915
443088,4.46E+06,74.6058,40.3077,-69.6697
444940,4.46E+06,74.2319,40.3078,-69.648
446792,4.46E+06,73.921,40.3079,-69.6262
448644,4.46E+06,73.6895,40.308,-69.6044
450496,4.46E+06,75.1566,40.3081,-69.5826
452348,4.46E+06,73.994,40.3082,-69.5608
454200,4.46E+06,75.0954,40.3083,-69.539
437532,4.46E+06,75.691,40.3239,-69.7353
439384,4.46E+06,74.6087,40.3241,-69.7135
441236,4.46E+06,73.7294,40.3242,-69.6917
443088,4.46E+06,72.8023,40.3243,-69.6699
444940,4.46E+06,72.7905,40.3245,-69.6481
446792,4.46E+06,72.5799,40.3246,-69.6263
448644,4.46E+06,71.6365,40.3247,-69.6045
450496,4.46E+06,73.8704,40.3248,-69.5827
452348,4.46E+06,73.1301,40.3249,-69.5609
454200,4.46E+06,73.3501,40.325,-69.5391
435680,4.47E+06,74.5449,40.3405,-69.7573
437532,4.47E+06,74.313,40.3406,-69.7355
456052,4.46E+06,73.6259,40.3251,-69.5173
439384,4.47E+06,73.0038,40.3408,-69.7137
457904,4.46E+06,73.6098,40.3252,-69.4955
441236,4.47E+06,72.0427,40.3409,-69.6919
459756,4.46E+06,75.8582,40.3253,-69.4737
443088,4.47E+06,71.9099,40.341,-69.6701
461608,4.46E+06,76.2147,40.3254,-69.4519
444940,4.47E+06,71.6432,40.3411,-69.6483
463460,4.46E+06,75.9568,40.3255,-69.4301
446792,4.47E+06,71.2937,40.3413,-69.6265
465312,4.46E+06,77.3304,40.3256,-69.4083
448644,4.47E+06,70.511,40.3414,-69.6047
467164,4.46E+06,77.6326,40.3256,-69.3865
450496,4.47E+06,72.1745,40.3415,-69.5829
469016,4.46E+06,79.9347,40.3257,-69.3647
452348,4.47E+06,71.0111,40.3416,-69.5611
470868,4.46E+06,80.9171,40.3258,-69.3429
454200,4.47E+06,72.205,40.3417,-69.5393
435680,4.47E+06,73.8784,40.3572,-69.7575
472720,4.46E+06,81.379,40.3258,-69.3211
437532,4.47E+06,73.196,40.3573,-69.7357
456052,4.47E+06,72.1731,40.3418,-69.5174
474572,4.46E+06,80.9533,40.3259,-69.2993
439384,4.47E+06,72.0571,40.3574,-69.7139
457904,4.47E+06,72.1249,40.3419,-69.4956
476424,4.46E+06,84.1141,40.3259,-69.2775
441236,4.47E+06,71.0707,40.3576,-69.6921
459756,4.47E+06,73.3708,40.342,-69.4738
478276,4.46E+06,83.7505,40.326,-69.2557
443088,4.47E+06,70.5709,40.3577,-69.6702
461608,4.47E+06,74.1932,40.3421,-69.452
480128,4.46E+06,83.4711,40.326,-69.2339
444940,4.47E+06,70.0726,40.3578,-69.6484
463460,4.47E+06,74.5287,40.3422,-69.4302
481980,4.46E+06,85.3812,40.3261,-69.2121
446792,4.47E+06,70.1201,40.3579,-69.6266
465312,4.47E+06,76.4833,40.3422,-69.4084
500500,4.46E+06,90.6383,40.3096,-68.9941
483832,4.46E+06,86.7896,40.3261,-69.1903
448644,4.47E+06,69.6852,40.3581,-69.6048
467164,4.47E+06,77.239,40.3423,-69.3866
502352,4.46E+06,91.6982,40.3096,-68.9723
485684,4.46E+06,88.4675,40.3262,-69.1685
450496,4.47E+06,70.5606,40.3582,-69.583
469016,4.47E+06,79.4198,40.3424,-69.3648
504204,4.46E+06,91.4105,40.3096,-68.9505
487536,4.46E+06,87.9688,40.3262,-69.1467
452348,4.47E+06,70.8586,40.3583,-69.5612
433828,4.47E+06,74.6965,40.3737,-69.7795
470868,4.47E+06,80.2012,40.3425,-69.343
454200,4.47E+06,71.3662,40.3584,-69.5394
435680,4.47E+06,73.0086,40.3738,-69.7577
489388,4.46E+06,88.573,40.3262,-69.1249
506056,4.46E+06,90.6196,40.3096,-68.9287
472720,4.47E+06,80.7342,40.3425,-69.3212
456052,4.47E+06,70.705,40.3585,-69.5176
437532,4.47E+06,72.5508,40.374,-69.7359
491240,4.46E+06,90.0014,40.3262,-69.1031
507908,4.46E+06,94.02,40.3096,-68.9069
474572,4.47E+06,80.633,40.3426,-69.2994
439384,4.47E+06,71.5696,40.3741,-69.714
457904,4.47E+06,71.5999,40.3586,-69.4958
493092,4.46E+06,91.1663,40.3262,-69.0813
509760,4.46E+06,94.7108,40.3095,-68.8851
476424,4.47E+06,81.9121,40.3426,-69.2776
441236,4.47E+06,70.3648,40.3743,-69.6922
459756,4.47E+06,72.9199,40.3587,-69.474
494944,4.46E+06,91.013,40.3263,-69.0595
511612,4.46E+06,94.6429,40.3095,-68.8634
478276,4.47E+06,82.5791,40.3427,-69.2558
443088,4.47E+06,69.8424,40.3744,-69.6704
461608,4.47E+06,73.5143,40.3588,-69.4521
